type,country,name,id,lat,lon,elev,mft,ref,freq,unit,chan,decl,north,range,kmm
VOR-DME,UY,CARRASCO,CRR,-34.832777777778,-56.025,105,M,MSL,116.900,MHZ,116X,-11.362273754524528,FALSE,none,none
VOR,MZ,MAPUTO,VMA,-25.868888888889,32.605,35,M,MSL,112.700,MHZ,none,-20.772835552830355,FALSE,none,none
VORTAC,KR,ANYANG,SEL,37.413611111111,126.92833333333,263,M,MSL,115.500,MHZ,102X,-8.751282940322342,FALSE,none,none
VORTAC,KR,BUSAN,PSN,35.122777777778,128.99944444444,529,M,MSL,114.000,MHZ,87X,-8.216194503639528,FALSE,none,none
VORTAC,KR,DALSEONG,TGU,35.809722222222,128.59083333333,629,M,MSL,112.200,MHZ,59X,-8.401178984927565,FALSE,none,none
VORTAC,KR,GANGWON,KAE,37.700833333333,128.75388888889,1022,M,MSL,115.600,MHZ,103X,-8.977093008514267,FALSE,none,none
VORTAC,KR,GUNSAN,KUZ,35.910277777778,126.61138888889,4,M,MSL,112.800,MHZ,75X,-8.281510132533247,FALSE,none,none
VOR-DME,KR,GWANGJU,KWA,35.126111111111,126.81222222222,14,M,MSL,114.400,MHZ,91X,-8.071988072024375,FALSE,none,none
VORTAC,KR,JEJU,CJU,33.384722222222,126.62416666667,809,M,MSL,116.100,MHZ,108X,-7.553120388041537,FALSE,none,none
VORTAC,KR,POHANG,KPO,35.977222222222,129.47444444444,230,M,MSL,112.500,MHZ,72X,-8.492815113344825,FALSE,none,none
VORTAC,KR,SONGTAN,SOT,37.094444444444,127.03166666667,11,M,MSL,116.900,MHZ,116X,-8.667104206783169,FALSE,none,none
VOR-DME,KR,YECHEON,CUN,36.631944444444,128.32527777778,111,M,MSL,114.800,MHZ,95X,-8.630738960581425,FALSE,none,none
VOR-DME,KR,YANGJU,YJU,37.74805555555555,126.99111111111111,418,M,MSL,114.900,MHZ,96X,-9.08,FALSE,none,none
DVOR,FK,MOUNT PLEASANT,MTP,-51.826388888889,-58.423888888889,57,M,MSL,114.700,MHZ,none,3.0130163766357954,FALSE,none,none
VOR-DME,NZ,AUCKLAND,AA,-37.004722222222,174.81361111111,15,M,MSL,114.800,MHZ,95X,20.110607738729602,FALSE,25,NM
VOR-DME,NZ,CHRISTCHURCH,CH,-43.504166666667,172.51472222222,41,M,MSL,115.300,MHZ,100X,24.24129189510122,FALSE,none,none
