BEG,114.950,207.71;BSM,115.650,273.65;LIN,112.250,87.50;MMP,113.350,106.17;NOV,111.650,84.92;SRN,113.700,114.84;TZO,117.250,157.41;VOG,110.450,39.34
BEG,114.950,206.09;BSM,115.650,271.35;LIN,112.250,93.68;MMP,113.350,108.19;NOV,111.650,87.17;SRN,113.700,117.65;TZO,117.250,162.97;VOG,110.450,40.34
BEG,114.950,203.50;BSM,115.650,268.35;LIN,112.250,101.65;MMP,113.350,110.65;NOV,111.650,90.16;SRN,113.700,120.88;TZO,117.250,166.25;VOG,110.450,42.04
BEG,114.950,204.52;BSM,115.650,265.86;LIN,112.250,109.90;MMP,113.350,113.37;NOV,111.650,92.91;SRN,113.700,124.78;TZO,117.250,173.89;VOG,110.450,42.48
BEG,114.950,208.51;BSM,115.650,265.59;LIN,112.250,114.54;MMP,113.350,114.85;NOV,111.650,93.66;SRN,113.700,127.41;TZO,117.250,183.03;VOG,110.450,40.85
BEG,114.950,212.96;BSM,115.650,265.54;LIN,112.250,120.99;MMP,113.350,116.52;NOV,111.650,94.35;SRN,113.700,130.56;TZO,117.250,193.20;VOG,110.450,38.58
BEG,114.950,218.64;BSM,115.650,267.38;LIN,112.250,120.46;MMP,113.350,116.16;NOV,111.650,92.27;SRN,113.700,131.30;TZO,117.250,203.98;VOG,110.450,35.05
BEG,114.950,222.86;BSM,115.650,270.19;LIN,112.250,105.24;MMP,113.350,113.27;NOV,111.650,88.12;SRN,113.700,127.90;TZO,117.250,210.90;VOG,110.450,32.79
BEG,114.950,227.88;BSM,115.650,273.26;LIN,112.250,83.33;MMP,113.350,109.77;NOV,111.650,83.48;SRN,113.700,123.36;TZO,117.250,221.05;VOG,110.450,30.69
BEG,114.950,230.74;BSM,115.650,276.14;LIN,112.250,67.76;MMP,113.350,105.82;NOV,111.650,79.69;SRN,113.700,117.10;TZO,117.250,227.40;VOG,110.450,30.38
BEG,114.950,235.38;BSM,115.650,279.21;LIN,112.250,56.22;MMP,113.350,101.90;NOV,111.650,75.89;SRN,113.700,110.84;TZO,117.250,245.24;VOG,110.450,29.66
BEG,114.950,241.22;BSM,115.650,281.34;LIN,112.250,47.00;MMP,113.350,99.22;NOV,111.650,72.80;SRN,113.700,106.74;TZO,117.250,270.77;VOG,110.450,28.25
BEG,114.950,249.65;BSM,115.650,283.16;LIN,112.250,33.01;MMP,113.350,96.53;NOV,111.650,68.68;SRN,113.700,102.89;TZO,117.250,288.39;VOG,110.450,25.40
BEG,114.950,255.30;BSM,115.650,284.97;LIN,112.250,27.27;MMP,113.350,93.75;NOV,111.650,65.75;SRN,113.700,98.15;TZO,117.250,300.11;VOG,110.450,24.23
BEG,114.950,260.74;BSM,115.650,287.24;LIN,112.250,26.95;MMP,113.350,90.63;NOV,111.650,63.60;SRN,113.700,92.54;TZO,117.250,314.96;VOG,110.450,24.26
