NHC,116.500,30.48;AME,113.950,254.96;ONC,113.100,18.55;TKE,110.450,14.92;KAD,112.000,29.96;MDE,117.800,320.67;KXC,116.700,46.70
NHC,116.500,25.65;AME,113.950,258.56;ONC,113.100,3.60;TKE,110.450,345.81;KAD,112.000,24.67;MDE,117.800,317.56;KXC,116.700,43.45
NHC,116.500,20.97;AME,113.950,258.14;ONC,113.100,347.64;TKE,110.450,318.98;KAD,112.000,19.49;MDE,117.800,314.23;KXC,116.700,40.62
NHC,116.500,16.96;AME,113.950,255.76;ONC,113.100,332.23;TKE,110.450,298.82;KAD,112.000,14.97;MDE,117.800,310.97;KXC,116.700,38.66
NHC,116.500,14.02;AME,113.950,252.20;ONC,113.100,317.79;TKE,110.450,283.28;KAD,112.000,11.52;MDE,117.800,307.88;KXC,116.700,37.99
NHC,116.500,10.87;AME,113.950,247.63;ONC,113.100,299.59;TKE,110.450,267.84;KAD,112.000,7.63;MDE,117.800,304.10;KXC,116.700,38.23
NHC,116.500,6.55;AME,113.950,246.86;ONC,113.100,289.94;TKE,110.450,263.14;KAD,112.000,2.55;MDE,117.800,301.84;KXC,116.700,36.48
NHC,116.500,359.42;AME,113.950,249.82;ONC,113.100,287.86;TKE,110.450,265.78;KAD,112.000,354.73;MDE,117.800,300.77;KXC,116.700,30.45
NHC,116.500,351.74;AME,113.950,253.42;ONC,113.100,287.64;TKE,110.450,269.23;KAD,112.000,346.64;MDE,117.800,300.05;KXC,116.700,22.38
NHC,116.500,345.44;AME,113.950,254.61;ONC,113.100,285.21;TKE,110.450,269.15;KAD,112.000,339.98;MDE,117.800,298.78;KXC,116.700,16.01
NHC,116.500,339.39;AME,113.950,253.79;ONC,113.100,280.77;TKE,110.450,266.46;KAD,112.000,333.45;MDE,117.800,296.85;KXC,116.700,10.80
NHC,116.500,333.96;AME,113.950,251.42;ONC,113.100,275.07;TKE,110.450,262.04;KAD,112.000,327.35;MDE,117.800,294.53;KXC,116.700,7.55
NHC,116.500,327.27;AME,113.950,248.26;ONC,113.100,268.29;TKE,110.450,256.66;KAD,112.000,319.76;MDE,117.800,291.70;KXC,116.700,4.27
NHC,116.500,321.64;AME,113.950,244.51;ONC,113.100,261.35;TKE,110.450,250.84;KAD,112.000,312.93;MDE,117.800,289.00;KXC,116.700,4.90
NHC,116.500,313.72;AME,113.950,243.36;ONC,113.100,258.11;TKE,110.450,248.71;KAD,112.000,304.86;MDE,117.800,286.97;KXC,116.700,356.19
NHC,116.500,304.97;AME,113.950,242.97;ONC,113.100,256.06;TKE,110.450,247.67;KAD,112.000,296.65;MDE,117.800,285.04;KXC,116.700,339.64
NHC,116.500,298.28;AME,113.950,241.49;ONC,113.100,253.07;TKE,110.450,245.40;KAD,112.000,290.10;MDE,117.800,283.20;KXC,116.700,327.46
NHC,116.500,290.54;AME,113.950,238.54;ONC,113.100,248.11;TKE,110.450,241.21;KAD,112.000,282.10;MDE,117.800,280.86;KXC,116.700,313.98
NHC,116.500,285.57;AME,113.950,235.64;ONC,113.100,243.64;TKE,110.450,237.23;KAD,112.000,276.37;MDE,117.800,279.33;KXC,116.700,307.71
NHC,116.500,287.36;AME,113.950,233.55;ONC,113.100,240.77;TKE,110.450,234.40;KAD,112.000,276.19;MDE,117.800,279.35;KXC,116.700,30.89
NHC,116.500,298.33;AME,113.950,231.27;ONC,113.100,237.81;TKE,110.450,231.23;KAD,112.000,282.08;MDE,117.800,280.46;KXC,116.700,68.06
NHC,116.500,315.13;AME,113.950,228.53;ONC,113.100,233.59;TKE,110.450,227.15;KAD,112.000,290.14;MDE,117.800,281.23;KXC,116.700,75.69
NHC,116.500,335.32;AME,113.950,223.63;ONC,113.100,224.52;TKE,110.450,219.73;KAD,112.000,277.08;MDE,117.800,279.74;KXC,116.700,89.16
NHC,116.500,40.48;AME,113.950,220.09;ONC,113.100,217.61;TKE,110.450,214.17;KAD,112.000,187.16;MDE,117.800,279.48;KXC,116.700,91.80
NHC,116.500,61.90;AME,113.950,216.86;ONC,113.100,210.52;TKE,110.450,208.54;KAD,112.000,82.09;MDE,117.800,281.01;KXC,116.700,88.95
NHC,116.500,62.33;AME,113.950,215.14;ONC,113.100,205.95;TKE,110.450,205.08;KAD,112.000,74.43;MDE,117.800,282.87;KXC,116.700,85.93
NHC,116.500,60.59;AME,113.950,213.39;ONC,113.100,200.15;TKE,110.450,200.99;KAD,112.000,68.23;MDE,117.800,285.68;KXC,116.700,82.21
NHC,116.500,63.67;AME,113.950,209.51;ONC,113.100,188.08;TKE,110.450,193.08;KAD,112.000,69.91;MDE,117.800,288.04;KXC,116.700,81.17
NHC,116.500,70.64;AME,113.950,202.40;ONC,113.100,169.83;TKE,110.450,180.63;KAD,112.000,76.47;MDE,117.800,289.32;KXC,116.700,83.07
NHC,116.500,70.08;AME,113.950,196.95;ONC,113.100,153.45;TKE,110.450,169.55;KAD,112.000,74.74;MDE,117.800,293.59;KXC,116.700,81.30
NHC,116.500,63.97;AME,113.950,195.98;ONC,113.100,139.32;TKE,110.450,162.12;KAD,112.000,67.42;MDE,117.800,299.79;KXC,116.700,76.44
NHC,116.500,56.71;AME,113.950,199.89;ONC,113.100,128.24;TKE,110.450,160.36;KAD,112.000,59.19;MDE,117.800,303.92;KXC,116.700,71.16
NHC,116.500,53.83;AME,113.950,199.44;ONC,113.100,111.09;TKE,110.450,150.99;KAD,112.000,55.79;MDE,117.800,307.85;KXC,116.700,68.33
NHC,116.500,52.23;AME,113.950,197.49;ONC,113.100,96.21;TKE,110.450,138.31;KAD,112.000,53.87;MDE,117.800,311.59;KXC,116.700,66.36
NHC,116.500,49.05;AME,113.950,197.93;ONC,113.100,79.11;TKE,110.450,121.19;KAD,112.000,50.25;MDE,117.800,315.63;KXC,116.700,63.17
NHC,116.500,45.05;AME,113.950,203.51;ONC,113.100,63.35;TKE,110.450,102.34;KAD,112.000,45.83;MDE,117.800,318.19;KXC,116.700,59.58
NHC,116.500,42.18;AME,113.950,209.53;ONC,113.100,52.49;TKE,110.450,82.26;KAD,112.000,42.67;MDE,117.800,320.30;KXC,116.700,56.79
NHC,116.500,38.38;AME,113.950,223.65;ONC,113.100,40.59;TKE,110.450,59.77;KAD,112.000,38.52;MDE,117.800,321.04;KXC,116.700,53.47
NHC,116.500,34.01;AME,113.950,242.88;ONC,113.100,28.09;TKE,110.450,33.70;KAD,112.000,33.78;MDE,117.800,321.28;KXC,116.700,49.65
