NAT,112.400,183.82;ROP,115.300,207.47;BSA,114.300,15.75;BGN,113.500,143.77;LOT,112.000,359.20;MZD,115.000,327.58;ZFR,115.600,352.13
NAT,112.400,194.76;ROP,115.300,211.00;BSA,114.300,9.45;BGN,113.500,199.33;LOT,112.000,357.45;MZD,115.000,323.86;ZFR,115.600,349.35
NAT,112.400,204.47;ROP,115.300,213.99;BSA,114.300,3.90;BGN,113.500,244.91;LOT,112.000,355.89;MZD,115.000,320.83;ZFR,115.600,346.93
NAT,112.400,207.78;ROP,115.300,214.79;BSA,114.300,0.30;BGN,113.500,240.23;LOT,112.000,354.77;MZD,115.000,317.05;ZFR,115.600,344.93
NAT,112.400,207.87;ROP,115.300,214.45;BSA,114.300,356.80;BGN,113.500,229.45;LOT,112.000,353.70;MZD,115.000,311.93;ZFR,115.600,342.73
NAT,112.400,200.15;ROP,115.300,210.68;BSA,114.300,359.52;BGN,113.500,206.97;LOT,112.000,354.09;MZD,115.000,305.92;ZFR,115.600,342.28
NAT,112.400,191.11;ROP,115.300,206.79;BSA,114.300,11.82;BGN,113.500,187.89;LOT,112.000,356.56;MZD,115.000,308.84;ZFR,115.600,346.16
NAT,112.400,182.17;ROP,115.300,203.76;BSA,114.300,21.80;BGN,113.500,167.05;LOT,112.000,359.26;MZD,115.000,318.23;ZFR,115.600,351.16
NAT,112.400,177.29;ROP,115.300,203.77;BSA,114.300,22.06;BGN,113.500,145.95;LOT,112.000,0.41;MZD,115.000,327.47;ZFR,115.600,353.76
NAT,112.400,172.88;ROP,115.300,204.39;BSA,114.300,21.23;BGN,113.500,115.81;LOT,112.000,1.02;MZD,115.000,333.24;ZFR,115.600,355.20
NAT,112.400,170.29;ROP,115.300,205.29;BSA,114.300,20.19;BGN,113.500,91.39;LOT,112.000,1.18;MZD,115.000,335.81;ZFR,115.600,355.70
NAT,112.400,160.89;ROP,115.300,207.59;BSA,114.300,18.33;BGN,113.500,51.48;LOT,112.000,1.45;MZD,115.000,340.10;ZFR,115.600,356.57
NAT,112.400,144.17;ROP,115.300,204.21;BSA,114.300,22.03;BGN,113.500,58.82;LOT,112.000,2.96;MZD,115.000,344.67;ZFR,115.600,359.02
NAT,112.400,138.36;ROP,115.300,200.41;BSA,114.300,25.82;BGN,113.500,68.92;LOT,112.000,4.24;MZD,115.000,347.96;ZFR,115.600,1.03
NAT,112.400,141.00;ROP,115.300,197.46;BSA,114.300,29.34;BGN,113.500,81.56;LOT,112.000,5.07;MZD,115.000,349.35;ZFR,115.600,2.26
NAT,112.400,145.88;ROP,115.300,196.01;BSA,114.300,31.96;BGN,113.500,93.63;LOT,112.000,5.38;MZD,115.000,348.92;ZFR,115.600,2.65
NAT,112.400,149.18;ROP,115.300,196.03;BSA,114.300,32.59;BGN,113.500,99.54;LOT,112.000,5.24;MZD,115.000,347.59;ZFR,115.600,2.33
NAT,112.400,156.12;ROP,115.300,197.62;BSA,114.300,31.35;BGN,113.500,108.25;LOT,112.000,4.29;MZD,115.000,343.13;ZFR,115.600,0.64
NAT,112.400,163.94;ROP,115.300,199.82;BSA,114.300,28.70;BGN,113.500,119.00;LOT,112.000,2.97;MZD,115.000,337.47;ZFR,115.600,358.31
NAT,112.400,172.91;ROP,115.300,203.74;BSA,114.300,22.23;BGN,113.500,123.73;LOT,112.000,1.10;MZD,115.000,332.48;ZFR,115.600,355.24
